prompt,total,layer,head,query_position,source_position,qk_score,attention_weight,source_ov_logit_projection,head_result_norm,query_norm,key_norm,status
calc: 1+2=,3,15,1,7,6,4.03125,0.404541015625,0.17876935005187988,4.252946853637695,17.806472778320312,24.28491973876953,ok
calc: 1+2=,3,15,1,7,0,3.27734375,0.1903076171875,-0.004846122115850449,4.252946853637695,17.806472778320312,8.964386940002441,ok
calc: 1+2=,3,15,1,7,5,3.130859375,0.1644287109375,0.025760862976312637,4.252946853637695,17.806472778320312,21.595293045043945,ok
calc: 1+2=,3,15,1,7,4,2.640625,0.1007080078125,0.007142301648855209,4.252946853637695,17.806472778320312,20.062244415283203,ok
calc: 1+2=,3,18,5,7,4,3.18359375,0.366455078125,0.041343651711940765,4.545034408569336,15.900737762451172,19.329322814941406,ok
calc: 1+2=,3,18,5,7,6,3.017578125,0.310302734375,0.0039965808391571045,4.545034408569336,15.900737762451172,20.737520217895508,ok
calc: 1+2=,3,18,5,7,0,2.62890625,0.21044921875,-0.0008195068221539259,4.545034408569336,15.900737762451172,7.607900619506836,ok
calc: 1+2=,3,18,5,7,5,1.4248046875,0.0631103515625,0.010815668851137161,4.545034408569336,15.900737762451172,19.599838256835938,ok
calc: 1+2=,3,14,2,7,7,4.51953125,0.35498046875,-0.01908104121685028,3.97363543510437,14.513470649719238,17.922008514404297,ok
calc: 1+2=,3,14,2,7,0,4.359375,0.30224609375,-0.005180960521101952,3.97363543510437,14.513470649719238,12.869162559509277,ok
calc: 1+2=,3,14,2,7,6,3.8046875,0.173583984375,-0.0027545876801013947,3.97363543510437,14.513470649719238,19.501462936401367,ok
calc: 1+2=,3,14,2,7,5,3.44140625,0.1207275390625,-0.010476674884557724,3.97363543510437,14.513470649719238,18.54985809326172,ok
calc: 1+2=,3,16,4,7,7,4.859375,0.411376953125,0.003295188769698143,3.4337525367736816,14.891029357910156,18.910520553588867,ok
calc: 1+2=,3,16,4,7,0,4.2890625,0.2325439453125,0.0021872608922421932,3.4337525367736816,14.891029357910156,11.734631538391113,ok
calc: 1+2=,3,16,4,7,5,4.0234375,0.17822265625,-0.00333513249643147,3.4337525367736816,14.891029357910156,19.866003036499023,ok
calc: 1+2=,3,16,4,7,6,3.58203125,0.1146240234375,-0.00949821062386036,3.4337525367736816,14.891029357910156,20.598894119262695,ok
calc: 2+3=,5,15,1,7,6,4.16015625,0.451904296875,0.055816590785980225,4.312128067016602,17.779354095458984,23.721637725830078,ok
calc: 2+3=,5,15,1,7,0,3.23828125,0.1798095703125,0.0006136194569990039,4.312128067016602,17.779354095458984,8.964386940002441,ok
calc: 2+3=,5,15,1,7,5,2.78125,0.11383056640625,0.0047289058566093445,4.312128067016602,17.779354095458984,21.638277053833008,ok
calc: 2+3=,5,15,1,7,4,2.681640625,0.10302734375,0.023084299638867378,4.312128067016602,17.779354095458984,19.71176528930664,ok
calc: 2+3=,5,18,5,7,4,2.865234375,0.348388671875,-0.028036657720804214,4.054724216461182,15.638349533081055,19.21248435974121,ok
calc: 2+3=,5,18,5,7,0,2.673828125,0.28759765625,-0.000691415392793715,4.054724216461182,15.638349533081055,7.607900619506836,ok
calc: 2+3=,5,18,5,7,6,2.60546875,0.2685546875,-0.04105379432439804,4.054724216461182,15.638349533081055,19.409137725830078,ok
calc: 2+3=,5,18,5,7,5,0.72998046875,0.041168212890625,-0.005611540749669075,4.054724216461182,15.638349533081055,19.224533081054688,ok
calc: 2+3=,5,14,2,7,0,4.08203125,0.348388671875,-0.028877314180135727,3.6543173789978027,14.087818145751953,12.869162559509277,ok
calc: 2+3=,5,14,2,7,7,4.0234375,0.32861328125,0.020196299999952316,3.6543173789978027,14.087818145751953,17.79191017150879,ok
calc: 2+3=,5,14,2,7,5,3.119140625,0.133056640625,0.014070428907871246,3.6543173789978027,14.087818145751953,18.174522399902344,ok
calc: 2+3=,5,14,2,7,6,3.076171875,0.12744140625,-0.009687747806310654,3.6543173789978027,14.087818145751953,19.311721801757812,ok
calc: 2+3=,5,16,4,7,7,4.453125,0.322998046875,-0.004005158320069313,3.39386248588562,14.172652244567871,18.817176818847656,ok
calc: 2+3=,5,16,4,7,0,4.07421875,0.22119140625,-0.005285299848765135,3.39386248588562,14.172652244567871,11.734631538391113,ok
calc: 2+3=,5,16,4,7,6,3.939453125,0.1932373046875,0.03137892484664917,3.39386248588562,14.172652244567871,20.84950828552246,ok
calc: 2+3=,5,16,4,7,5,3.927734375,0.1910400390625,0.0022609690204262733,3.39386248588562,14.172652244567871,19.834184646606445,ok
calc: 3+1=,4,15,1,7,6,3.875,0.371826171875,-0.07194767147302628,4.007987022399902,18.437583923339844,25.28685188293457,ok
calc: 3+1=,4,15,1,7,0,3.26171875,0.201416015625,0.005665473639965057,4.007987022399902,18.437583923339844,8.964386940002441,ok
calc: 3+1=,4,15,1,7,5,2.841796875,0.13232421875,0.010907962918281555,4.007987022399902,18.437583923339844,22.018203735351562,ok
calc: 3+1=,4,15,1,7,4,2.806640625,0.1278076171875,0.04064841940999031,4.007987022399902,18.437583923339844,19.93057632446289,ok
calc: 3+1=,4,18,5,7,4,3.4921875,0.50244140625,-0.11351358890533447,4.433834552764893,16.16388702392578,19.145414352416992,ok
calc: 3+1=,4,18,5,7,0,2.73046875,0.234619140625,0.0027448914479464293,4.433834552764893,16.16388702392578,7.607900619506836,ok
calc: 3+1=,4,18,5,7,6,2.392578125,0.1673583984375,-0.00738130696117878,4.433834552764893,16.16388702392578,19.692068099975586,ok
calc: 3+1=,4,18,5,7,5,1.09375,0.045654296875,0.0031487876549363136,4.433834552764893,16.16388702392578,19.400596618652344,ok
calc: 3+1=,4,14,2,7,0,4.2265625,0.3408203125,-0.03134170174598694,3.7007761001586914,14.468390464782715,12.869162559509277,ok
calc: 3+1=,4,14,2,7,7,4.17578125,0.323974609375,0.013297135010361671,3.7007761001586914,14.468390464782715,18.347692489624023,ok
calc: 3+1=,4,14,2,7,5,3.44921875,0.15673828125,-0.008311005309224129,3.7007761001586914,14.468390464782715,18.32533836364746,ok
calc: 3+1=,4,14,2,7,6,3.10546875,0.11114501953125,-0.002353362273424864,3.7007761001586914,14.468390464782715,19.54726219177246,ok
calc: 3+1=,4,16,4,7,7,4.51953125,0.305419921875,0.012591762468218803,3.1605300903320312,14.819019317626953,18.896677017211914,ok
calc: 3+1=,4,16,4,7,0,4.36328125,0.26123046875,0.008525416254997253,3.1605300903320312,14.819019317626953,11.734631538391113,ok
calc: 3+1=,4,16,4,7,5,4.1171875,0.204345703125,-0.017506644129753113,3.1605300903320312,14.819019317626953,20.1405086517334,ok
calc: 3+1=,4,16,4,7,6,3.728515625,0.1385498046875,-0.005412610247731209,3.1605300903320312,14.819019317626953,22.207801818847656,ok
calc: 4+2=,6,15,1,7,6,3.994140625,0.42578125,0.044203758239746094,4.135397434234619,18.20859718322754,24.68021583557129,ok
calc: 4+2=,6,15,1,7,0,3.22265625,0.1968994140625,-0.001466404995881021,4.135397434234619,18.20859718322754,8.964386940002441,ok
calc: 4+2=,6,15,1,7,4,2.681640625,0.1146240234375,0.011078940704464912,4.135397434234619,18.20859718322754,19.987926483154297,ok
calc: 4+2=,6,15,1,7,5,2.51953125,0.09747314453125,-0.005034108646214008,4.135397434234619,18.20859718322754,21.565601348876953,ok
calc: 4+2=,6,18,5,7,4,3.462890625,0.51416015625,0.01769545115530491,4.660524845123291,15.828689575195312,19.295814514160156,ok
calc: 4+2=,6,18,5,7,0,2.67578125,0.2340087890625,0.0015835671219974756,4.660524845123291,15.828689575195312,7.607900619506836,ok
calc: 4+2=,6,18,5,7,6,2.333984375,0.166259765625,0.025171596556901932,4.660524845123291,15.828689575195312,19.218812942504883,ok
calc: 4+2=,6,18,5,7,5,0.853515625,0.037811279296875,0.0026846949476748705,4.660524845123291,15.828689575195312,19.184343338012695,ok
calc: 4+2=,6,14,2,7,0,4.1796875,0.34130859375,0.011112889274954796,3.6703505516052246,14.2699556350708,12.869162559509277,ok
calc: 4+2=,6,14,2,7,7,4.0546875,0.30126953125,0.001987502910196781,3.6703505516052246,14.2699556350708,18.03348731994629,ok
calc: 4+2=,6,14,2,7,5,3.3515625,0.149169921875,0.002423282712697983,3.6703505516052246,14.2699556350708,18.173553466796875,ok
calc: 4+2=,6,14,2,7,6,3.27734375,0.138427734375,0.04059449955821037,3.6703505516052246,14.2699556350708,18.880529403686523,ok
calc: 4+2=,6,16,4,7,7,4.33984375,0.302490234375,0.01357504352927208,3.115429639816284,14.731983184814453,18.820289611816406,ok
calc: 4+2=,6,16,4,7,0,4.25,0.276611328125,0.0020142672583460808,3.115429639816284,14.731983184814453,11.734631538391113,ok
calc: 4+2=,6,16,4,7,5,3.970703125,0.2091064453125,-0.030970390886068344,3.115429639816284,14.731983184814453,20.22203826904297,ok
calc: 4+2=,6,16,4,7,6,3.505859375,0.13134765625,-0.0020056618377566338,3.115429639816284,14.731983184814453,21.05541229248047,ok
calc: 2+2=,4,15,1,7,6,3.560546875,0.327880859375,0.030845733359456062,3.915219783782959,17.899837493896484,24.36982536315918,ok
calc: 2+2=,4,15,1,7,0,3.302734375,0.253173828125,0.0071213277988135815,3.915219783782959,17.899837493896484,8.964386940002441,ok
calc: 2+2=,4,15,1,7,5,2.646484375,0.13134765625,0.005481484811753035,3.915219783782959,17.899837493896484,21.638277053833008,ok
calc: 2+2=,4,15,1,7,4,2.48046875,0.111328125,0.002822237554937601,3.915219783782959,17.899837493896484,19.71176528930664,ok
calc: 2+2=,4,18,5,7,4,2.779296875,0.351806640625,0.0909467488527298,4.659341812133789,15.472647666931152,19.21248435974121,ok
calc: 2+2=,4,18,5,7,0,2.716796875,0.33056640625,0.0038674119859933853,4.659341812133789,15.472647666931152,7.607900619506836,ok
calc: 2+2=,4,18,5,7,6,2.259765625,0.209228515625,0.08492647856473923,4.659341812133789,15.472647666931152,20.969236373901367,ok
calc: 2+2=,4,18,5,7,5,0.86572265625,0.051910400390625,0.011097032576799393,4.659341812133789,15.472647666931152,19.224533081054688,ok
calc: 2+2=,4,14,2,7,0,4.27734375,0.397216796875,-0.03652790188789368,3.452162742614746,14.110482215881348,12.869162559509277,ok
calc: 2+2=,4,14,2,7,7,3.80859375,0.24853515625,0.026467641815543175,3.452162742614746,14.110482215881348,17.933481216430664,ok
calc: 2+2=,4,14,2,7,6,3.259765625,0.1435546875,0.016983680427074432,3.452162742614746,14.110482215881348,19.04269027709961,ok
calc: 2+2=,4,14,2,7,5,3.2109375,0.13671875,-0.006965733133256435,3.452162742614746,14.110482215881348,18.174522399902344,ok
calc: 2+2=,4,16,4,7,7,4.7265625,0.35888671875,0.040431659668684006,3.77336049079895,14.768239974975586,18.86754608154297,ok
calc: 2+2=,4,16,4,7,0,4.15234375,0.2021484375,0.006597237661480904,3.77336049079895,14.768239974975586,11.734631538391113,ok
calc: 2+2=,4,16,4,7,6,4.12890625,0.197509765625,0.05211469531059265,3.77336049079895,14.768239974975586,20.516399383544922,ok
calc: 2+2=,4,16,4,7,5,4.01171875,0.1756591796875,0.0005354057066142559,3.77336049079895,14.768239974975586,19.834184646606445,ok
calc: 1+4=,5,15,1,7,6,3.595703125,0.304443359375,0.1077054962515831,3.8032991886138916,17.497880935668945,23.70200538635254,ok
calc: 1+4=,5,15,1,7,0,3.19921875,0.204833984375,0.000699017895385623,3.8032991886138916,17.497880935668945,8.964386940002441,ok
calc: 1+4=,5,15,1,7,5,3.16796875,0.198486328125,-0.007709912024438381,3.8032991886138916,17.497880935668945,21.595293045043945,ok
calc: 1+4=,5,15,1,7,4,2.75,0.1307373046875,0.01439271867275238,3.8032991886138916,17.497880935668945,20.062244415283203,ok
calc: 1+4=,5,18,5,7,4,3.052734375,0.330810546875,0.026874937117099762,4.152264595031738,15.810221672058105,19.329322814941406,ok
calc: 1+4=,5,18,5,7,6,3.015625,0.31884765625,-0.06008400022983551,4.152264595031738,15.810221672058105,19.016754150390625,ok
calc: 1+4=,5,18,5,7,0,2.66796875,0.2252197265625,-0.0005414527840912342,4.152264595031738,15.810221672058105,7.607900619506836,ok
calc: 1+4=,5,18,5,7,5,1.4814453125,0.0687255859375,-0.00643708324059844,4.152264595031738,15.810221672058105,19.599838256835938,ok
calc: 1+4=,5,14,2,7,7,4.1796875,0.316650390625,0.024051649495959282,3.6261613368988037,14.352466583251953,17.81640625,ok
calc: 1+4=,5,14,2,7,0,4.13671875,0.30322265625,-0.02513357810676098,3.6261613368988037,14.352466583251953,12.869162559509277,ok
calc: 1+4=,5,14,2,7,6,3.744140625,0.204833984375,-0.025188123807311058,3.6261613368988037,14.352466583251953,18.865680694580078,ok
calc: 1+4=,5,14,2,7,5,3.232421875,0.122802734375,0.011485063470900059,3.6261613368988037,14.352466583251953,18.54985809326172,ok
calc: 1+4=,5,16,4,7,7,4.59765625,0.35498046875,-0.0039021442644298077,3.0345916748046875,14.528705596923828,18.756656646728516,ok
calc: 1+4=,5,16,4,7,0,4.31640625,0.267822265625,-0.006399529054760933,3.0345916748046875,14.528705596923828,11.734631538391113,ok
calc: 1+4=,5,16,4,7,5,3.927734375,0.181640625,0.004907143302261829,3.0345916748046875,14.528705596923828,19.866003036499023,ok
calc: 1+4=,5,16,4,7,6,3.568359375,0.1268310546875,0.0229569710791111,3.0345916748046875,14.528705596923828,20.816287994384766,ok
calc: 3+3=,6,15,1,7,6,3.451171875,0.307373046875,0.05438978597521782,3.7626793384552,17.847509384155273,24.351001739501953,ok
calc: 3+3=,6,15,1,7,0,3.244140625,0.249755859375,-0.0018600525800138712,3.7626793384552,17.847509384155273,8.964386940002441,ok
calc: 3+3=,6,15,1,7,5,2.65234375,0.13818359375,0.0007687676697969437,3.7626793384552,17.847509384155273,22.018203735351562,ok
calc: 3+3=,6,15,1,7,4,2.396484375,0.1070556640625,0.014179947786033154,3.7626793384552,17.847509384155273,19.93057632446289,ok
calc: 3+3=,6,18,5,7,4,2.9140625,0.331298828125,0.046493127942085266,4.981621742248535,15.591700553894043,19.145414352416992,ok
calc: 3+3=,6,18,5,7,0,2.787109375,0.291748046875,0.0019742953591048717,4.981621742248535,15.591700553894043,7.607900619506836,ok
calc: 3+3=,6,18,5,7,6,2.73828125,0.27783203125,0.060438044369220734,4.981621742248535,15.591700553894043,20.45284652709961,ok
calc: 3+3=,6,18,5,7,5,1.0234375,0.050018310546875,0.0031593621242791414,4.981621742248535,15.591700553894043,19.400596618652344,ok
calc: 3+3=,6,14,2,7,0,4.14453125,0.40380859375,0.013147867284715176,3.3862762451171875,14.041787147521973,12.869162559509277,ok
calc: 3+3=,6,14,2,7,7,3.6875,0.255615234375,0.008534997701644897,3.3862762451171875,14.041787147521973,18.026378631591797,ok
calc: 3+3=,6,14,2,7,6,3.09375,0.14111328125,0.06259423494338989,3.3862762451171875,14.041787147521973,19.043306350708008,ok
calc: 3+3=,6,14,2,7,5,2.990234375,0.1273193359375,0.0015673795714974403,3.3862762451171875,14.041787147521973,18.32533836364746,ok
calc: 3+3=,6,16,4,7,7,4.4453125,0.323974609375,0.017377132549881935,3.489449977874756,14.483609199523926,18.7204647064209,ok
calc: 3+3=,6,16,4,7,0,4.078125,0.224365234375,0.0016338147688657045,3.489449977874756,14.483609199523926,11.734631538391113,ok
calc: 3+3=,6,16,4,7,6,4.06640625,0.2218017578125,0.012293180450797081,3.489449977874756,14.483609199523926,20.91463279724121,ok
calc: 3+3=,6,16,4,7,5,3.744140625,0.16064453125,-0.03304174542427063,3.489449977874756,14.483609199523926,20.1405086517334,ok
calc: 4+1=,5,15,1,7,6,3.630859375,0.332763671875,0.035381074994802475,3.7990758419036865,18.141239166259766,25.37167739868164,ok
calc: 4+1=,5,15,1,7,0,3.19921875,0.216064453125,0.0007373430416919291,3.7990758419036865,18.141239166259766,8.964386940002441,ok
calc: 4+1=,5,15,1,7,4,2.814453125,0.1470947265625,0.03952735662460327,3.7990758419036865,18.141239166259766,19.987926483154297,ok
calc: 4+1=,5,15,1,7,5,2.634765625,0.12286376953125,0.0024950955994427204,3.7990758419036865,18.141239166259766,21.565601348876953,ok
calc: 4+1=,5,18,5,7,4,3.380859375,0.474365234375,-0.033798325806856155,4.24706506729126,15.964190483093262,19.295814514160156,ok
calc: 4+1=,5,18,5,7,0,2.78515625,0.261474609375,-0.0006286134594120085,4.24706506729126,15.964190483093262,7.607900619506836,ok
calc: 4+1=,5,18,5,7,6,2.328125,0.16552734375,0.02011938765645027,4.24706506729126,15.964190483093262,19.545339584350586,ok
calc: 4+1=,5,18,5,7,5,0.955078125,0.04193115234375,-0.00484171137213707,4.24706506729126,15.964190483093262,19.184343338012695,ok
calc: 4+1=,5,14,2,7,0,4.20703125,0.33935546875,-0.02812856435775757,3.7092604637145996,14.384536743164062,12.869162559509277,ok
calc: 4+1=,5,14,2,7,7,4.1484375,0.320068359375,0.004146520979702473,3.7092604637145996,14.384536743164062,18.342676162719727,ok
calc: 4+1=,5,14,2,7,5,3.5,0.1673583984375,0.01661580055952072,3.7092604637145996,14.384536743164062,18.173553466796875,ok
calc: 4+1=,5,14,2,7,6,3.01953125,0.103515625,-0.015799593180418015,3.7092604637145996,14.384536743164062,19.377094268798828,ok
calc: 4+1=,5,16,4,7,0,4.40625,0.335693359375,-0.008021288551390171,2.732659101486206,14.503965377807617,11.734631538391113,ok
calc: 4+1=,5,16,4,7,7,4.26953125,0.292724609375,0.00199798122048378,2.732659101486206,14.503965377807617,18.770591735839844,ok
calc: 4+1=,5,16,4,7,5,3.765625,0.1768798828125,0.010028857737779617,2.732659101486206,14.503965377807617,20.22203826904297,ok
calc: 4+1=,5,16,4,7,6,3.21875,0.10235595703125,0.00340183824300766,2.732659101486206,14.503965377807617,22.02987289428711,ok
