left,right,same_form,jaccard
addition_explicit_0,addition_applied_0,0,0.08275862068965517
addition_explicit_0,addition_implicit_0,0,0.08163265306122448
addition_explicit_0,addition_explicit_1,1,0.45454545454545453
addition_explicit_0,addition_applied_1,0,0.0896551724137931
addition_explicit_0,addition_implicit_1,0,0.08108108108108109
addition_explicit_0,addition_explicit_2,1,0.48148148148148145
addition_explicit_0,addition_applied_2,0,0.1048951048951049
addition_explicit_0,addition_implicit_2,0,0.08843537414965986
addition_explicit_0,addition_explicit_3,1,0.40350877192982454
addition_explicit_0,addition_applied_3,0,0.0821917808219178
addition_explicit_0,addition_implicit_3,0,0.0958904109589041
addition_explicit_0,addition_explicit_4,1,0.4953271028037383
addition_explicit_0,addition_applied_4,0,0.09722222222222222
addition_explicit_0,addition_implicit_4,0,0.08904109589041095
addition_explicit_0,addition_explicit_5,1,0.45454545454545453
addition_explicit_0,addition_applied_5,0,0.0896551724137931
addition_explicit_0,addition_implicit_5,0,0.08108108108108109
addition_explicit_0,addition_explicit_6,1,0.3559322033898305
addition_explicit_0,addition_applied_6,0,0.0896551724137931
addition_explicit_0,addition_implicit_6,0,0.0958904109589041
addition_explicit_0,addition_explicit_7,1,0.415929203539823
addition_explicit_0,addition_applied_7,0,0.1048951048951049
addition_explicit_0,addition_implicit_7,0,0.08108108108108109
addition_applied_0,addition_implicit_0,0,0.13043478260869565
addition_applied_0,addition_explicit_1,0,0.09027777777777778
addition_applied_0,addition_applied_1,1,0.5816326530612245
addition_applied_0,addition_implicit_1,0,0.12949640287769784
addition_applied_0,addition_explicit_2,0,0.0979020979020979
addition_applied_0,addition_applied_2,1,0.6145833333333334
addition_applied_0,addition_implicit_2,0,0.11347517730496454
addition_applied_0,addition_explicit_3,0,0.0979020979020979
addition_applied_0,addition_applied_3,1,0.5656565656565656
addition_applied_0,addition_implicit_3,0,0.12142857142857143
addition_applied_0,addition_explicit_4,0,0.09027777777777778
addition_applied_0,addition_applied_4,1,0.631578947368421
addition_applied_0,addition_implicit_4,0,0.1223021582733813
addition_applied_0,addition_explicit_5,0,0.09027777777777778
addition_applied_0,addition_applied_5,1,0.6145833333333334
addition_applied_0,addition_implicit_5,0,0.1056338028169014
addition_applied_0,addition_explicit_6,0,0.0979020979020979
addition_applied_0,addition_applied_6,1,0.6145833333333334
addition_applied_0,addition_implicit_6,0,0.1056338028169014
addition_applied_0,addition_explicit_7,0,0.0979020979020979
addition_applied_0,addition_applied_7,1,0.5816326530612245
addition_applied_0,addition_implicit_7,0,0.0979020979020979
addition_implicit_0,addition_explicit_1,0,0.11188811188811189
addition_implicit_0,addition_applied_1,0,0.12142857142857143
addition_implicit_0,addition_implicit_1,1,0.6224489795918368
addition_implicit_0,addition_explicit_2,0,0.11188811188811189
addition_implicit_0,addition_applied_2,0,0.12949640287769784
addition_implicit_0,addition_implicit_2,1,0.65625
addition_implicit_0,addition_explicit_3,0,0.10416666666666667
addition_implicit_0,addition_applied_3,0,0.11347517730496454
addition_implicit_0,addition_implicit_3,1,0.65625
addition_implicit_0,addition_explicit_4,0,0.09655172413793103
addition_implicit_0,addition_applied_4,0,0.12142857142857143
addition_implicit_0,addition_implicit_4,1,0.6808510638297872
addition_implicit_0,addition_explicit_5,0,0.08904109589041095
addition_implicit_0,addition_applied_5,0,0.12142857142857143
addition_implicit_0,addition_implicit_5,1,0.6224489795918368
addition_implicit_0,addition_explicit_6,0,0.10416666666666667
addition_implicit_0,addition_applied_6,0,0.12142857142857143
addition_implicit_0,addition_implicit_6,1,0.6391752577319587
addition_implicit_0,addition_explicit_7,0,0.10416666666666667
addition_implicit_0,addition_applied_7,0,0.13768115942028986
addition_implicit_0,addition_implicit_7,1,0.6224489795918368
addition_explicit_1,addition_applied_1,0,0.0896551724137931
addition_explicit_1,addition_implicit_1,0,0.1111111111111111
addition_explicit_1,addition_explicit_2,1,0.5686274509803921
addition_explicit_1,addition_applied_2,0,0.11267605633802817
addition_explicit_1,addition_implicit_2,0,0.1111111111111111
addition_explicit_1,addition_explicit_3,1,0.5841584158415841
addition_explicit_1,addition_applied_3,0,0.0821917808219178
addition_explicit_1,addition_implicit_3,0,0.11888111888111888
addition_explicit_1,addition_explicit_4,1,0.5094339622641509
addition_explicit_1,addition_applied_4,0,0.09722222222222222
addition_explicit_1,addition_implicit_4,0,0.11188811188811189
addition_explicit_1,addition_explicit_5,1,0.6326530612244898
addition_explicit_1,addition_applied_5,0,0.0896551724137931
addition_explicit_1,addition_implicit_5,0,0.1111111111111111
addition_explicit_1,addition_explicit_6,1,0.5686274509803921
addition_explicit_1,addition_applied_6,0,0.0896551724137931
addition_explicit_1,addition_implicit_6,0,0.11888111888111888
addition_explicit_1,addition_explicit_7,1,0.6161616161616161
addition_explicit_1,addition_applied_7,0,0.11267605633802817
addition_explicit_1,addition_implicit_7,0,0.1111111111111111
addition_applied_1,addition_implicit_1,0,0.12056737588652482
addition_applied_1,addition_explicit_2,0,0.09722222222222222
addition_applied_1,addition_applied_2,1,0.6421052631578947
addition_applied_1,addition_implicit_2,0,0.12056737588652482
addition_applied_1,addition_explicit_3,0,0.09722222222222222
addition_applied_1,addition_applied_3,1,0.625
addition_applied_1,addition_implicit_3,0,0.12056737588652482
addition_applied_1,addition_explicit_4,0,0.09722222222222222
addition_applied_1,addition_applied_4,1,0.6421052631578947
addition_applied_1,addition_implicit_4,0,0.12142857142857143
addition_applied_1,addition_explicit_5,0,0.0896551724137931
addition_applied_1,addition_applied_5,1,0.8795180722891566
addition_applied_1,addition_implicit_5,0,0.1048951048951049
addition_applied_1,addition_explicit_6,0,0.09722222222222222
addition_applied_1,addition_applied_6,1,0.6595744680851063
addition_applied_1,addition_implicit_6,0,0.11267605633802817
addition_applied_1,addition_explicit_7,0,0.09722222222222222
addition_applied_1,addition_applied_7,1,0.7333333333333333
addition_applied_1,addition_implicit_7,0,0.09722222222222222
addition_implicit_1,addition_explicit_2,0,0.10344827586206896
addition_implicit_1,addition_applied_2,0,0.12056737588652482
addition_implicit_1,addition_implicit_2,1,0.6161616161616161
addition_implicit_1,addition_explicit_3,0,0.11888111888111888
addition_implicit_1,addition_applied_3,0,0.11267605633802817
addition_implicit_1,addition_implicit_3,1,0.6494845360824743
addition_implicit_1,addition_explicit_4,0,0.08843537414965986
addition_implicit_1,addition_applied_4,0,0.11267605633802817
addition_implicit_1,addition_implicit_4,1,0.65625
addition_implicit_1,addition_explicit_5,0,0.08843537414965986
addition_implicit_1,addition_applied_5,0,0.12056737588652482
addition_implicit_1,addition_implicit_5,1,0.8390804597701149
addition_implicit_1,addition_explicit_6,0,0.1111111111111111
addition_implicit_1,addition_applied_6,0,0.12056737588652482
addition_implicit_1,addition_implicit_6,1,0.6326530612244898
addition_implicit_1,addition_explicit_7,0,0.1111111111111111
addition_implicit_1,addition_applied_7,0,0.1366906474820144
addition_implicit_1,addition_implicit_7,1,0.8390804597701149
addition_explicit_2,addition_applied_2,0,0.12056737588652482
addition_explicit_2,addition_implicit_2,0,0.11888111888111888
addition_explicit_2,addition_explicit_3,1,0.5094339622641509
addition_explicit_2,addition_applied_3,0,0.0896551724137931
addition_explicit_2,addition_implicit_3,0,0.11888111888111888
addition_explicit_2,addition_explicit_4,1,0.5094339622641509
addition_explicit_2,addition_applied_4,0,0.1048951048951049
addition_explicit_2,addition_implicit_4,0,0.1276595744680851
addition_explicit_2,addition_explicit_5,1,0.44144144144144143
addition_explicit_2,addition_applied_5,0,0.09722222222222222
addition_explicit_2,addition_implicit_5,0,0.10344827586206896
addition_explicit_2,addition_explicit_6,1,0.46788990825688076
addition_explicit_2,addition_applied_6,0,0.09722222222222222
addition_explicit_2,addition_implicit_6,0,0.11888111888111888
addition_explicit_2,addition_explicit_7,1,0.5384615384615384
addition_explicit_2,addition_applied_7,0,0.12056737588652482
addition_explicit_2,addition_implicit_7,0,0.10344827586206896
addition_applied_2,addition_implicit_2,0,0.12857142857142856
addition_applied_2,addition_explicit_3,0,0.11267605633802817
addition_applied_2,addition_applied_3,1,0.625
addition_applied_2,addition_implicit_3,0,0.12056737588652482
addition_applied_2,addition_explicit_4,0,0.11267605633802817
addition_applied_2,addition_applied_4,1,0.8571428571428571
addition_applied_2,addition_implicit_4,0,0.12949640287769784
addition_applied_2,addition_explicit_5,0,0.11267605633802817
addition_applied_2,addition_applied_5,1,0.6082474226804123
addition_applied_2,addition_implicit_5,0,0.11267605633802817
addition_applied_2,addition_explicit_6,0,0.11267605633802817
addition_applied_2,addition_applied_6,1,0.6774193548387096
addition_applied_2,addition_implicit_6,0,0.11267605633802817
addition_applied_2,addition_explicit_7,0,0.11267605633802817
addition_applied_2,addition_applied_7,1,0.7142857142857143
addition_applied_2,addition_implicit_7,0,0.1048951048951049
addition_implicit_2,addition_explicit_3,0,0.1111111111111111
addition_implicit_2,addition_applied_3,0,0.11267605633802817
addition_implicit_2,addition_implicit_3,1,0.6326530612244898
addition_implicit_2,addition_explicit_4,0,0.10344827586206896
addition_implicit_2,addition_applied_4,0,0.12056737588652482
addition_implicit_2,addition_implicit_4,1,0.8928571428571429
addition_implicit_2,addition_explicit_5,0,0.08843537414965986
addition_implicit_2,addition_applied_5,0,0.12056737588652482
addition_implicit_2,addition_implicit_5,1,0.6666666666666666
addition_implicit_2,addition_explicit_6,0,0.1111111111111111
addition_implicit_2,addition_applied_6,0,0.12056737588652482
addition_implicit_2,addition_implicit_6,1,0.6494845360824743
addition_implicit_2,addition_explicit_7,0,0.10344827586206896
addition_implicit_2,addition_applied_7,0,0.12857142857142856
addition_implicit_2,addition_implicit_7,1,0.6326530612244898
addition_explicit_3,addition_applied_3,0,0.09722222222222222
addition_explicit_3,addition_implicit_3,0,0.1347517730496454
addition_explicit_3,addition_explicit_4,1,0.45454545454545453
addition_explicit_3,addition_applied_4,0,0.1048951048951049
addition_explicit_3,addition_implicit_4,0,0.11188811188811189
addition_explicit_3,addition_explicit_5,1,0.44144144144144143
addition_explicit_3,addition_applied_5,0,0.09722222222222222
addition_explicit_3,addition_implicit_5,0,0.10344827586206896
addition_explicit_3,addition_explicit_6,1,0.6494845360824743
addition_explicit_3,addition_applied_6,0,0.1048951048951049
addition_explicit_3,addition_implicit_6,0,0.1347517730496454
addition_explicit_3,addition_explicit_7,1,0.4953271028037383
addition_explicit_3,addition_applied_7,0,0.11267605633802817
addition_explicit_3,addition_implicit_7,0,0.10344827586206896
addition_applied_3,addition_implicit_3,0,0.12056737588652482
addition_applied_3,addition_explicit_4,0,0.09722222222222222
addition_applied_3,addition_applied_4,1,0.5918367346938775
addition_applied_3,addition_implicit_4,0,0.11347517730496454
addition_applied_3,addition_explicit_5,0,0.0821917808219178
addition_applied_3,addition_applied_5,1,0.625
addition_applied_3,addition_implicit_5,0,0.09722222222222222
addition_applied_3,addition_explicit_6,0,0.09722222222222222
addition_applied_3,addition_applied_6,1,0.8571428571428571
addition_applied_3,addition_implicit_6,0,0.1048951048951049
addition_applied_3,addition_explicit_7,0,0.0896551724137931
addition_applied_3,addition_applied_7,1,0.6082474226804123
addition_applied_3,addition_implicit_7,0,0.0896551724137931
addition_implicit_3,addition_explicit_4,0,0.10344827586206896
addition_implicit_3,addition_applied_4,0,0.11267605633802817
addition_implicit_3,addition_implicit_4,1,0.65625
addition_implicit_3,addition_explicit_5,0,0.0958904109589041
addition_implicit_3,addition_applied_5,0,0.12056737588652482
addition_implicit_3,addition_implicit_5,1,0.6161616161616161
addition_implicit_3,addition_explicit_6,0,0.1267605633802817
addition_implicit_3,addition_applied_6,0,0.12857142857142856
addition_implicit_3,addition_implicit_6,1,0.927710843373494
addition_implicit_3,addition_explicit_7,0,0.11888111888111888
addition_implicit_3,addition_applied_7,0,0.12857142857142856
addition_implicit_3,addition_implicit_7,1,0.6161616161616161
addition_explicit_4,addition_applied_4,0,0.11267605633802817
addition_explicit_4,addition_implicit_4,0,0.11188811188811189
addition_explicit_4,addition_explicit_5,1,0.415929203539823
addition_explicit_4,addition_applied_5,0,0.09722222222222222
addition_explicit_4,addition_implicit_5,0,0.08843537414965986
addition_explicit_4,addition_explicit_6,1,0.40350877192982454
addition_explicit_4,addition_applied_6,0,0.1048951048951049
addition_explicit_4,addition_implicit_6,0,0.10344827586206896
addition_explicit_4,addition_explicit_7,1,0.3793103448275862
addition_explicit_4,addition_applied_7,0,0.1048951048951049
addition_explicit_4,addition_implicit_7,0,0.08843537414965986
addition_applied_4,addition_implicit_4,0,0.12142857142857143
addition_applied_4,addition_explicit_5,0,0.09722222222222222
addition_applied_4,addition_applied_5,1,0.6082474226804123
addition_applied_4,addition_implicit_5,0,0.1048951048951049
addition_applied_4,addition_explicit_6,0,0.1048951048951049
addition_applied_4,addition_applied_6,1,0.6595744680851063
addition_applied_4,addition_implicit_6,0,0.1048951048951049
addition_applied_4,addition_explicit_7,0,0.09722222222222222
addition_applied_4,addition_applied_7,1,0.6421052631578947
addition_applied_4,addition_implicit_7,0,0.09722222222222222
addition_implicit_4,addition_explicit_5,0,0.08904109589041095
addition_implicit_4,addition_applied_5,0,0.12142857142857143
addition_implicit_4,addition_implicit_5,1,0.6736842105263158
addition_implicit_4,addition_explicit_6,0,0.11188811188811189
addition_implicit_4,addition_applied_6,0,0.12142857142857143
addition_implicit_4,addition_implicit_6,1,0.6736842105263158
addition_implicit_4,addition_explicit_7,0,0.10416666666666667
addition_implicit_4,addition_applied_7,0,0.12949640287769784
addition_implicit_4,addition_implicit_7,1,0.6391752577319587
addition_explicit_5,addition_applied_5,0,0.0896551724137931
addition_explicit_5,addition_implicit_5,0,0.08843537414965986
addition_explicit_5,addition_explicit_6,1,0.415929203539823
addition_explicit_5,addition_applied_6,0,0.0896551724137931
addition_explicit_5,addition_implicit_6,0,0.0958904109589041
addition_explicit_5,addition_explicit_7,1,0.6326530612244898
addition_explicit_5,addition_applied_7,0,0.11267605633802817
addition_explicit_5,addition_implicit_7,0,0.08843537414965986
addition_applied_5,addition_implicit_5,0,0.1048951048951049
addition_applied_5,addition_explicit_6,0,0.09722222222222222
addition_applied_5,addition_applied_6,1,0.6421052631578947
addition_applied_5,addition_implicit_6,0,0.11267605633802817
addition_applied_5,addition_explicit_7,0,0.09722222222222222
addition_applied_5,addition_applied_7,1,0.7333333333333333
addition_applied_5,addition_implicit_7,0,0.09722222222222222
addition_implicit_5,addition_explicit_6,0,0.10344827586206896
addition_implicit_5,addition_applied_6,0,0.1048951048951049
addition_implicit_5,addition_implicit_6,1,0.6
addition_implicit_5,addition_explicit_7,0,0.10344827586206896
addition_implicit_5,addition_applied_7,0,0.11267605633802817
addition_implicit_5,addition_implicit_7,1,0.8823529411764706
addition_explicit_6,addition_applied_6,0,0.1048951048951049
addition_explicit_6,addition_implicit_6,0,0.1267605633802817
addition_explicit_6,addition_explicit_7,1,0.42857142857142855
addition_explicit_6,addition_applied_7,0,0.11267605633802817
addition_explicit_6,addition_implicit_7,0,0.10344827586206896
addition_applied_6,addition_implicit_6,0,0.11267605633802817
addition_applied_6,addition_explicit_7,0,0.09722222222222222
addition_applied_6,addition_applied_7,1,0.625
addition_applied_6,addition_implicit_7,0,0.09722222222222222
addition_implicit_6,addition_explicit_7,0,0.11888111888111888
addition_implicit_6,addition_applied_7,0,0.12056737588652482
addition_implicit_6,addition_implicit_7,1,0.6
addition_explicit_7,addition_applied_7,0,0.12056737588652482
addition_explicit_7,addition_implicit_7,0,0.10344827586206896
addition_applied_7,addition_implicit_7,0,0.1048951048951049
